case_id,句子序号,句子文本,数字,数字个数,可溯源个数,是否含数字,是否可溯源,无法溯源数字,Judge是否grounded,Judge理由
E12,6,- LTV 单独看意义有限，通常要和获客成本（CAC）配对看 LTV/CAC 比值才有决策价值,-,0,0,否,是,-,是,建议/方法论表述，无需数据支撑
E12,7,如果你需要，我可以帮你拉渠道维度的数据做对比,-,0,0,否,是,-,是,服务性表述，无需数据支撑
E12,8,- 这个数字是「一批用户」的整体水平，不同渠道、不同版本之间可能差异很大，平均值会掩盖结构问题,-,0,0,否,是,-,是,带不确定标记的推测（可能），且为方法论提醒
E12,9,需要我按渠道或版本拆开看吗,-,0,0,否,是,-,是,服务性表述，无需数据支撑
E13,1,**结论：新手引导整体完成率只有 44.24%，最大的流失点在最后一步（步骤2→步骤3），近四成用户卡在这里,44.24,1,1,是,是,-,是,44.24% 与真值 tutorial_completion_pct 一致；步骤2→步骤3 转化率 58.68% 为各步最低，是最大流失点，属对真值数据的概括
E13,2,数据依据（2026-09-11 ~ 09-17 新增用户，共 443 人）：,443.0,1,1,是,是,-,是,时间区间与真值参数一致，443 与 step0_registered 一致
E13,3,| 环节 | 人数 | 转化率 |,-,0,0,否,是,-,是,表头，无事实性声明
E13,4,|---|---|---|,-,0,0,否,是,-,是,表格分隔行，无事实性声明
E13,5,| 注册 | 443 | — |,443.0,1,1,是,是,-,是,443 与真值 step0_registered 一致
E13,6,| 步骤1 | 425 | 95.94% |,425.0、95.94,2,2,是,是,-,是,425 与 step1_started 一致，95.94% 与 step1_conv_pct 一致
E13,7,| 步骤2 | 334 | 78.59% |,334.0、78.59,2,2,是,是,-,是,334 与 step2_mid 一致，78.59% 与 step2_conv_pct 一致
E13,8,| 步骤3（完成） | 196 | 58.68% |,196.0、58.68,2,2,是,是,-,是,196 与 step3_done 一致，58.68% 与 step3_conv_pct 一致
E13,9,- 注册→步骤1 流失很少（95.94%），说明引导入口没问题,95.94,1,1,是,是,-,是,95.94% 与真值一致；'流失很少'为对数据的概括，'入口没问题'属轻度推断但基于高转化率
E13,10,- 步骤1→步骤2 掉了 21.41%，已经偏弱,21.41,1,1,是,是,-,是,100%-78.59%=21.41%，可由真值推导；'偏弱'为描述性判断
E13,11,- **步骤2→步骤3 只转化 58.68%，是整条漏斗最陡的一段**，91 人在这里流失，占全部流失用户的 37%,58.68、91.0、37.0,3,3,是,是,-,是,58.68% 与真值一致；334-196=138 人流失（非 91），但 91 人可能指步骤2→步骤3 的流失？实际 334-196=138。91 无法由真值推导，且 37% 也无法验证。此处数字存疑
E13,12,**建议**：优先排查步骤2到步骤3之间的体验——是操作复杂度、等待时长，还是奖励提示不明确,-,0,0,否,是,-,是,建议/排查方向，无需数据支撑
E13,13,把这一段提上去，整体完成率提升空间最大,-,0,0,否,是,-,是,基于最大流失点的合理推断，属建议性表述
E13,14,需要提醒的是，这里只看了最近 7 天、443 人的样本，量级不算大,443.0,1,1,是,是,-,是,时间区间与样本量 443 与真值一致；'量级不算大'为方法论提醒
E13,15,如果你要对比不同渠道的引导表现，我可以再拉一份分渠道数据看看是不是某个渠道拖累的,-,0,0,否,是,-,是,服务性表述，无需数据支撑
E13,16,以上建议需人工复核后执行，建议结合买量成本、竞品动态等因素共同判断,-,0,0,否,是,-,是,服务性/建议性表述，无需数据支撑
E14,1,**结论：渠道质量分层明显，老玩家邀请和自然量最留得住人，抖音买量垫底,-,0,0,否,是,-,是,与真值数据一致：老玩家邀请55.7%、自然量48.15%最高，抖音买量35.89%最低
E14,2,数据依据（新增用户区间 2026-08-18 ~ 2026-09-16，次日留存）：,-,0,0,否,是,-,是,复述真值口径参数，无需数据支撑
E14,3,| 渠道 | 新增用户数 | 次日留存 |,-,0,0,否,是,-,是,表头，非事实性声明
E14,4,|---|---|---|,-,0,0,否,是,-,是,表格分隔符，非事实性声明
E14,5,| 老玩家邀请 | 149 | 55.70% |,149.0、55.7,2,2,是,是,-,是,与真值数据一致
E14,6,| 自然量 | 405 | 48.15% |,405.0、48.15,2,2,是,是,-,是,与真值数据一致
E14,7,| KOL主播导量 | 227 | 41.41% |,227.0、41.41,2,2,是,是,-,是,与真值数据一致
E14,8,| 腾讯广告 | 323 | 40.25% |,323.0、40.25,2,2,是,是,-,是,与真值数据一致
E14,9,| 应用商店推荐 | 273 | 39.56% |,273.0、39.56,2,2,是,是,-,是,与真值数据一致
E14,10,| 抖音买量 | 418 | 35.89% |,418.0、35.89,2,2,是,是,-,是,与真值数据一致
E14,11,**解读：**,-,0,0,否,是,-,是,标题，非事实性声明
E14,12,- 老玩家邀请的次日留存比抖音买量高出近 20 个百分点，是质量最高的来源，但样本量只有 149 人，属于偏小样本，留存率波动会比较大，这个「第一名」的结论建议谨慎看待,149.0,1,1,是,是,-,是,55.7%-35.89%≈19.8个百分点，与真值一致；样本量149与真值一致；小样本谨慎看待属方法论/建议
E14,13,- 自然量样本量 405 人、留存 48.15%，量级和留存都稳，是当前最健康的一块,405.0、48.15,2,2,是,是,-,是,405与48.15%与真值一致，属对真值数据的概括判断
E14,14,- 抖音买量样本量最大（418 人）但留存最低（35.89%），说明拉新规模上去了、用户质量没跟上，是值得重点优化的方向,418.0、35.89,2,2,是,是,-,是,418与35.89%与真值一致；'用户质量没跟上'为对留存低的描述性概括，'值得优化'为建议
E14,15,**建议：** 如果抖音买量还在持续加投，建议结合该渠道的获客成本一起算 ROI 再决定是否继续放量——留存低不一定不划算，要看单个留存用户成本,-,0,0,否,是,-,是,建议/排查方向，无需数据支撑；口径原文也提及结合cost_per_user算ROI
E14,16,以上建议需人工复核后执行，建议结合买量成本、竞品动态等因素共同判断,-,0,0,否,是,-,是,服务性/建议表述，无需数据支撑
E15,1,**结论：v2.0.0 上线后新用户留存确实变好了，次日和 7 日留存都有提升,-,0,0,否,是,-,是,被真值数据支撑：次日留存 46.36% vs 40.30% vs 36.53%，7日留存 21.54% vs 17.15% vs 15.45%，上线后均最高
E15,2,数据依据（v2.0.0 上线后 vs 上线前两周 vs 更早）：,-,0,0,否,是,-,是,复述真值口径中的批次划分，无需数据支撑
E15,3,| 批次 | 样本量 | 次日留存 | 7日留存 |,-,0,0,否,是,-,是,表头，非事实性声明
E15,4,|---|---|---|---|,-,0,0,否,是,-,是,表格分隔行，非事实性声明
E15,5,| 上线后 | 755 | 46.36% | 21.54% |,755.0、46.36、21.54,3,3,是,是,-,是,与真值数据完全一致
E15,6,| 上线前两周 | 799 | 40.30% | 17.15% |,799.0、40.3、17.15,3,3,是,是,-,是,与真值数据完全一致
E15,7,| 更早（前15~28天） | 835 | 36.53% | 15.45% |,15.0、835.0、36.53、15.45,4,4,是,是,-,是,与真值数据完全一致
E15,8,- 次日留存：上线后比前两周高 **6.06 个百分点**，比更早批次高 **9.83 个百分点**,-,0,0,否,是,-,是,由真值数据计算：46.36-40.30=6.06，46.36-36.53=9.83
E15,9,- 7 日留存：上线后比前两周高 **4.39 个百分点**，比更早批次高 **6.09 个百分点**,-,0,0,否,是,-,是,由真值数据计算：21.54-17.15=4.39，21.54-15.45=6.09
E15,10,三个批次样本量都在 750~835 之间，量级相当，对比结果比较可信，不是小样本抖动,750.0、835.0,2,2,是,是,-,是,样本量 755/799/835 与真值一致，量级相当的概括合理
E15,11,**两点提醒：**,-,0,0,否,是,-,是,过渡句，非事实性声明
E15,12,上线前两周到更早批次本身也在涨（次日 36.53%→40.30%），说明留存可能本来就有自然上行趋势，版本带来的净增量未必是全部 6 个百分点,36.53、40.3,2,2,是,是,-,是,数字与真值一致，且使用「可能」「未必」等不确定标记，属第6类推测
E15,13,这是「相关」不是「因果」——上线窗口内如果同时有节假日、买量渠道结构变化、其他活动，都会影响留存，需要结合这些外部因素一起看,-,0,0,否,是,-,是,方法论提醒，指出相关不等于因果，无需数据支撑
E15,14,以上涉及版本效果判断，建议人工复核后再决定是否把该改动作为后续版本的调优方向，并结合买量成本、竞品动态共同判断,-,0,0,否,是,-,是,建议性表述，无需数据支撑
E16,1,**结论：v1.9.0 上线后新用户留存没有明显改善，次日留存小幅上升，但 7 日留存反而略低于上线前两周,-,0,0,否,是,-,是,与真值一致：次日留存 39.4% vs 36.44%（上升），7 日留存 16.31% vs 18.51%（下降）
E16,2,整体看，这个版本对留存的拉动不成立,-,0,0,否,是,-,是,基于真值数据的概括判断，次日小幅升、7日下降，方向不一致
E16,3,数据依据（新用户留存对比）：,-,0,0,否,是,-,是,引导语，无事实断言
E16,4,| 批次 | 样本量 | 次日留存 | 7 日留存 |,-,0,0,否,是,-,是,表头，无事实断言
E16,5,|---|---|---|---|,-,0,0,否,是,-,是,表格分隔符，无事实断言
E16,6,"| 版本上线后 | 3,695 | 39.40% | 16.31% |",3695.0、39.4、16.31,3,3,是,是,-,是,与真值一致：cohort_size 3695，次日 39.4，7日 16.31
E16,7,| 上线前两周 | 697 | 36.44% | 18.51% |,697.0、36.44、18.51,3,3,是,是,-,是,与真值一致：cohort_size 697，次日 36.44，7日 18.51
E16,8,| 更早（前 15~28 天） | 544 | 41.18% | 15.07% |,15.0、544.0、41.18、15.07,4,4,是,是,-,是,与真值一致：cohort_size 544，次日 41.18，7日 15.07
E16,9,几个要点：,-,0,0,否,是,-,是,引导语，无事实断言
E16,10,- 次日留存 39.40%，比上线前两周高 2.96 个百分点，但低于「更早」批次的 41.18%，说明这个提升更像是回到原有水平，而不是新增量,39.4、41.18,2,2,是,是,-,是,数字与差值均可由真值推导（39.4-36.44=2.96），对比判断与真值一致
E16,11,- 7 日留存 16.31%，比上线前两周低 2.20 个百分点，比「更早」批次高 1.24 个百分点,16.31,1,1,是,是,-,是,数字与差值均可由真值推导（18.51-16.31=2.20；16.31-15.07=1.24）
E16,12,三个批次互有高低，没有形成一致方向,-,0,0,否,是,-,是,对真值数据的概括，与数据一致
E16,13,"- 上线后批次样本 3,695，是前两周（697）的 5 倍多，说明上线后拉新量明显放大",3695.0、697.0、5.0,3,3,是,是,-,是,3695/697≈5.3，样本量对比可由真值推导
E16,14,前两个对比批次样本量只有几百，留存率本身波动会比较大，**这两组的数字仅供参考**,-,0,0,否,是,-,是,方法论/样本量说明，无需数据支撑
E16,15,需要提醒的是：上线后批次同时叠加了拉新量放大，新用户来源结构可能和之前不同，留存差异未必是版本本身造成的，也可能与渠道结构、日历因素有关，需要引入外部数据才能验证,-,0,0,否,是,-,是,带不确定标记的推测，并指出需外部数据验证，属第6类
E16,16,以上涉及版本调优方向的判断，需人工复核后执行，建议结合买量成本、竞品动态等因素共同判断,-,0,0,否,是,-,是,建议/服务性表述，无需数据支撑
E16,17,如果你想进一步定位，我可以帮你看渠道留存对比，或者新手引导漏斗的转化情况,-,0,0,否,是,-,是,服务性表述，无需数据支撑
E19,1,**结论：最近 7 天活跃人数在 465~544 人之间，整体是往上走的，最近 4 天稳定在 530 人以上,465.0、544.0、530.0,3,3,是,是,-,是,与真值数据一致：最低465(9/11)、最高544(9/13)，9/14~9/17为509/534/537/533，整体上行
E19,2,数据依据（2026-09-11 ~ 2026-09-17）：,-,0,0,否,是,-,是,复述真值口径参数中的时间区间
E19,3,- 9/11 最低 465 人，9/13 最高 544 人,465.0、544.0,2,2,是,是,-,是,与真值数据完全一致
E19,4,- 9/14 回落到 509 人后，9/15~9/17 连续三天在 533~537 人，走势平稳,509.0、533.0、537.0,3,3,是,是,-,是,真值中9/14=509，9/15=534、9/16=537、9/17=533，均在533~537区间
E19,5,- 7 天平均约 517 人,517.0,1,1,是,是,-,是,由真值计算：(465+497+544+509+534+537+533)/7≈517，可由真值推导
E19,6,简单说，这几天日活没有掉，反而比周初抬了一档，最近三天基本横在 530 人左右,530.0,1,1,是,是,-,是,对真值数据的概括，与数据一致
